feature1_ER,feature2_ER,value_ER
All,All,0.0
All,Density,-0.01321917475921025
All,Entropy,-0.0077021421968273
All,Heterogeneity,-0.016867179695366552
All,Gini,-0.005113686159604114
All,Resilience,-0.018270071889300687
All,Transitivity,-0.0020565043209189726
All,None,-0.00026384657372052756
Density,All,0.01321917475921025
Density,Density,0.0
Density,Entropy,0.005517032562382951
Density,Heterogeneity,-0.0036480049361563016
Density,Gini,0.008105488599606137
Density,Resilience,-0.005050897130090437
Density,Transitivity,0.011162670438291278
Density,None,0.012955328185489723
Entropy,All,0.0077021421968273
Entropy,Density,-0.005517032562382951
Entropy,Entropy,0.0
Entropy,Heterogeneity,-0.009165037498539252
Entropy,Gini,0.0025884560372231857
Entropy,Resilience,-0.010567929692473388
Entropy,Transitivity,0.005645637875908327
Entropy,None,0.007438295623106772
Heterogeneity,All,0.016867179695366552
Heterogeneity,Density,0.0036480049361563016
Heterogeneity,Entropy,0.009165037498539252
Heterogeneity,Heterogeneity,0.0
Heterogeneity,Gini,0.011753493535762438
Heterogeneity,Resilience,-0.0014028921939341354
Heterogeneity,Transitivity,0.01481067537444758
Heterogeneity,None,0.016603333121646024
Gini,All,0.005113686159604114
Gini,Density,-0.008105488599606137
Gini,Entropy,-0.0025884560372231857
Gini,Heterogeneity,-0.011753493535762438
Gini,Gini,0.0
Gini,Resilience,-0.013156385729696574
Gini,Transitivity,0.0030571818386851413
Gini,None,0.004849839585883586
Resilience,All,0.018270071889300687
Resilience,Density,0.005050897130090437
Resilience,Entropy,0.010567929692473388
Resilience,Heterogeneity,0.0014028921939341354
Resilience,Gini,0.013156385729696574
Resilience,Resilience,0.0
Resilience,Transitivity,0.016213567568381715
Resilience,None,0.01800622531558016
Transitivity,All,0.0020565043209189726
Transitivity,Density,-0.011162670438291278
Transitivity,Entropy,-0.005645637875908327
Transitivity,Heterogeneity,-0.01481067537444758
Transitivity,Gini,-0.0030571818386851413
Transitivity,Resilience,-0.016213567568381715
Transitivity,Transitivity,0.0
Transitivity,None,0.001792657747198445
None,All,0.00026384657372052756
None,Density,-0.012955328185489723
None,Entropy,-0.007438295623106772
None,Heterogeneity,-0.016603333121646024
None,Gini,-0.004849839585883586
None,Resilience,-0.01800622531558016
None,Transitivity,-0.001792657747198445
None,None,0.0
