feature1,feature2,pvalue,stats
All,All,1.0,0.0
All,Density,3.901656775440188e-12,0.09298237616665772
All,Entropy,3.901656775440188e-12,0.07850034164812286
All,Heterogeneity,5.45246037431113e-07,0.034676081157923366
All,Gini,3.901656775440188e-12,0.0628019980828805
All,Resilience,3.0651022131511496e-07,0.035288567492400225
All,Transitivity,3.901656775440188e-12,0.06467848934062265
All,None,3.9048764222116006e-12,0.051228205800185445
Density,All,3.901656775440188e-12,-0.09298237616665772
Density,Density,1.0,0.0
Density,Entropy,0.26746363534535655,-0.014482034518534859
Density,Heterogeneity,3.901656775440188e-12,-0.058306295008734355
Density,Gini,2.7779026547714025e-05,-0.030180378083777215
Density,Resilience,3.901656775440188e-12,-0.057693808674257496
Density,Transitivity,0.00012241969629922522,-0.028303886826035074
Density,None,3.9546366181753e-10,-0.041754170366472276
Entropy,All,3.901656775440188e-12,-0.07850034164812286
Entropy,Density,0.26746363534535655,0.014482034518534859
Entropy,Entropy,1.0,0.0
Entropy,Heterogeneity,4.099121042600018e-11,-0.043824260490199496
Entropy,Gini,0.1765693461649498,-0.015698343565242356
Entropy,Resilience,7.923450784375063e-11,-0.04321177415572264
Entropy,Transitivity,0.32695095163796506,-0.013821852307500215
Entropy,None,0.00026568672712945496,-0.027272135847937418
Heterogeneity,All,5.45246037431113e-07,-0.034676081157923366
Heterogeneity,Density,3.901656775440188e-12,0.058306295008734355
Heterogeneity,Entropy,4.099121042600018e-11,0.043824260490199496
Heterogeneity,Heterogeneity,1.0,0.0
Heterogeneity,Gini,0.0001402170002556824,0.02812591692495714
Heterogeneity,Resilience,0.9999999951195886,0.0006124863344768583
Heterogeneity,Transitivity,3.210437822287471e-05,0.03000240818269928
Heterogeneity,None,0.12749849823101866,0.016552124642262078
Gini,All,3.901656775440188e-12,-0.0628019980828805
Gini,Density,2.7779026547714025e-05,0.030180378083777215
Gini,Entropy,0.1765693461649498,0.015698343565242356
Gini,Heterogeneity,0.0001402170002556824,-0.02812591692495714
Gini,Gini,1.0,0.0
Gini,Resilience,0.00022223102988416787,-0.02751343059048028
Gini,Transitivity,0.9999883569931175,0.001876491257742141
Gini,None,0.5669662743810713,-0.011573792282695061
Resilience,All,3.0651022131511496e-07,-0.035288567492400225
Resilience,Density,3.901656775440188e-12,0.057693808674257496
Resilience,Entropy,7.923450784375063e-11,0.04321177415572264
Resilience,Heterogeneity,0.9999999951195886,-0.0006124863344768583
Resilience,Gini,0.00022223102988416787,0.02751343059048028
Resilience,Resilience,1.0,0.0
Resilience,Transitivity,5.248721197093076e-05,0.029389921848222422
Resilience,None,0.16149886136771507,0.01593963830778522
Transitivity,All,3.901656775440188e-12,-0.06467848934062265
Transitivity,Density,0.00012241969629922522,0.028303886826035074
Transitivity,Entropy,0.32695095163796506,0.013821852307500215
Transitivity,Heterogeneity,3.210437822287471e-05,-0.03000240818269928
Transitivity,Gini,0.9999883569931175,-0.001876491257742141
Transitivity,Resilience,5.248721197093076e-05,-0.029389921848222422
Transitivity,Transitivity,1.0,0.0
Transitivity,None,0.3632503449416967,-0.013450283540437202
None,All,3.9048764222116006e-12,-0.051228205800185445
None,Density,3.9546366181753e-10,0.041754170366472276
None,Entropy,0.00026568672712945496,0.027272135847937418
None,Heterogeneity,0.12749849823101866,-0.016552124642262078
None,Gini,0.5669662743810713,0.011573792282695061
None,Resilience,0.16149886136771507,-0.01593963830778522
None,Transitivity,0.3632503449416967,0.013450283540437202
None,None,1.0,0.0
