feature1_Mix,feature2_Mix,value_Mix
All,All,0.0
All,Density,-0.02141094448281583
All,Entropy,-0.013894969495362897
All,Heterogeneity,-0.004947219019089399
All,Gini,-0.020780217671497125
All,Resilience,-0.03475474131814621
All,Transitivity,-0.004471406697769409
All,None,-0.021661802644640626
Density,All,0.02141094448281583
Density,Density,0.0
Density,Entropy,0.007515974987452934
Density,Heterogeneity,0.01646372546372643
Density,Gini,0.0006307268113187048
Density,Resilience,-0.01334379683533038
Density,Transitivity,0.01693953778504642
Density,None,-0.00025085816182479626
Entropy,All,0.013894969495362897
Entropy,Density,-0.007515974987452934
Entropy,Entropy,0.0
Entropy,Heterogeneity,0.008947750476273497
Entropy,Gini,-0.006885248176134229
Entropy,Resilience,-0.020859771822783313
Entropy,Transitivity,0.009423562797593488
Entropy,None,-0.00776683314927773
Heterogeneity,All,0.004947219019089399
Heterogeneity,Density,-0.01646372546372643
Heterogeneity,Entropy,-0.008947750476273497
Heterogeneity,Heterogeneity,0.0
Heterogeneity,Gini,-0.015832998652407726
Heterogeneity,Resilience,-0.02980752229905681
Heterogeneity,Transitivity,0.0004758123213199905
Heterogeneity,None,-0.016714583625551227
Gini,All,0.020780217671497125
Gini,Density,-0.0006307268113187048
Gini,Entropy,0.006885248176134229
Gini,Heterogeneity,0.015832998652407726
Gini,Gini,0.0
Gini,Resilience,-0.013974523646649084
Gini,Transitivity,0.016308810973727716
Gini,None,-0.000881584973143501
Resilience,All,0.03475474131814621
Resilience,Density,0.01334379683533038
Resilience,Entropy,0.020859771822783313
Resilience,Heterogeneity,0.02980752229905681
Resilience,Gini,0.013974523646649084
Resilience,Resilience,0.0
Resilience,Transitivity,0.0302833346203768
Resilience,None,0.013092938673505583
Transitivity,All,0.004471406697769409
Transitivity,Density,-0.01693953778504642
Transitivity,Entropy,-0.009423562797593488
Transitivity,Heterogeneity,-0.0004758123213199905
Transitivity,Gini,-0.016308810973727716
Transitivity,Resilience,-0.0302833346203768
Transitivity,Transitivity,0.0
Transitivity,None,-0.017190395946871218
None,All,0.021661802644640626
None,Density,0.00025085816182479626
None,Entropy,0.00776683314927773
None,Heterogeneity,0.016714583625551227
None,Gini,0.000881584973143501
None,Resilience,-0.013092938673505583
None,Transitivity,0.017190395946871218
None,None,0.0
