feature1_SW,feature2_SW,value_SW
All,All,0.0
All,Density,0.09298237616665772
All,Entropy,0.07850034164812286
All,Heterogeneity,0.034676081157923366
All,Gini,0.0628019980828805
All,Resilience,0.035288567492400225
All,Transitivity,0.06467848934062265
All,None,0.051228205800185445
Density,All,-0.09298237616665772
Density,Density,0.0
Density,Entropy,-0.014482034518534859
Density,Heterogeneity,-0.058306295008734355
Density,Gini,-0.030180378083777215
Density,Resilience,-0.057693808674257496
Density,Transitivity,-0.028303886826035074
Density,None,-0.041754170366472276
Entropy,All,-0.07850034164812286
Entropy,Density,0.014482034518534859
Entropy,Entropy,0.0
Entropy,Heterogeneity,-0.043824260490199496
Entropy,Gini,-0.015698343565242356
Entropy,Resilience,-0.04321177415572264
Entropy,Transitivity,-0.013821852307500215
Entropy,None,-0.027272135847937418
Heterogeneity,All,-0.034676081157923366
Heterogeneity,Density,0.058306295008734355
Heterogeneity,Entropy,0.043824260490199496
Heterogeneity,Heterogeneity,0.0
Heterogeneity,Gini,0.02812591692495714
Heterogeneity,Resilience,0.0006124863344768583
Heterogeneity,Transitivity,0.03000240818269928
Heterogeneity,None,0.016552124642262078
Gini,All,-0.0628019980828805
Gini,Density,0.030180378083777215
Gini,Entropy,0.015698343565242356
Gini,Heterogeneity,-0.02812591692495714
Gini,Gini,0.0
Gini,Resilience,-0.02751343059048028
Gini,Transitivity,0.001876491257742141
Gini,None,-0.011573792282695061
Resilience,All,-0.035288567492400225
Resilience,Density,0.057693808674257496
Resilience,Entropy,0.04321177415572264
Resilience,Heterogeneity,-0.0006124863344768583
Resilience,Gini,0.02751343059048028
Resilience,Resilience,0.0
Resilience,Transitivity,0.029389921848222422
Resilience,None,0.01593963830778522
Transitivity,All,-0.06467848934062265
Transitivity,Density,0.028303886826035074
Transitivity,Entropy,0.013821852307500215
Transitivity,Heterogeneity,-0.03000240818269928
Transitivity,Gini,-0.001876491257742141
Transitivity,Resilience,-0.029389921848222422
Transitivity,Transitivity,0.0
Transitivity,None,-0.013450283540437202
None,All,-0.051228205800185445
None,Density,0.041754170366472276
None,Entropy,0.027272135847937418
None,Heterogeneity,-0.016552124642262078
None,Gini,0.011573792282695061
None,Resilience,-0.01593963830778522
None,Transitivity,0.013450283540437202
None,None,0.0
