feature1_ER,feature2_ER,value_ER
All,All,1.0
All,Density,0.36840324264571456
All,Entropy,0.9113260550174241
All,Heterogeneity,0.1021214795194737
All,Gini,0.9907670699129095
All,Resilience,0.054372208521961674
All,Transitivity,0.9999760776446971
All,None,0.9999999999851829
Density,All,0.36840324264571456
Density,Density,1.0
Density,Entropy,0.9855037564303254
Density,Heterogeneity,0.9988915105897936
Density,Gini,0.8866654112853439
Density,Resilience,0.9914296841010458
Density,Transitivity,0.5961140357641924
Density,None,0.3958004250400704
Entropy,All,0.9113260550174241
Entropy,Density,0.9855037564303254
Entropy,Entropy,1.0
Entropy,Heterogeneity,0.8042631476741215
Entropy,Gini,0.9998859165499959
Entropy,Resilience,0.662781560248374
Entropy,Transitivity,0.983415954006722
Entropy,None,0.9254254363461274
Heterogeneity,All,0.1021214795194737
Heterogeneity,Density,0.9988915105897936
Heterogeneity,Entropy,0.8042631476741215
Heterogeneity,Heterogeneity,1.0
Heterogeneity,Gini,0.5287239062101352
Heterogeneity,Resilience,0.9999982807924025
Heterogeneity,Transitivity,0.22478010834465456
Heterogeneity,None,0.11403876787874856
Gini,All,0.9907670699129095
Gini,Density,0.8866654112853439
Gini,Entropy,0.9998859165499959
Gini,Heterogeneity,0.5287239062101352
Gini,Gini,1.0
Gini,Resilience,0.3748454565301633
Gini,Transitivity,0.9996525899251391
Gini,None,0.9933039696288978
Resilience,All,0.054372208521961674
Resilience,Density,0.9914296841010458
Resilience,Entropy,0.662781560248374
Resilience,Heterogeneity,0.9999982807924025
Resilience,Gini,0.3748454565301633
Resilience,Resilience,1.0
Resilience,Transitivity,0.13358524910124236
Resilience,None,0.06155228355549247
Transitivity,All,0.9999760776446971
Transitivity,Density,0.5961140357641924
Transitivity,Entropy,0.983415954006722
Transitivity,Heterogeneity,0.22478010834465456
Transitivity,Gini,0.9996525899251391
Transitivity,Resilience,0.13358524910124236
Transitivity,Transitivity,1.0
Transitivity,None,0.9999906670260555
None,All,0.9999999999851829
None,Density,0.3958004250400704
None,Entropy,0.9254254363461274
None,Heterogeneity,0.11403876787874856
None,Gini,0.9933039696288978
None,Resilience,0.06155228355549247
None,Transitivity,0.9999906670260555
None,None,1.0
