feature1_Mix,feature2_Mix,value_Mix
All,All,1.0
All,Density,0.01321805568922818
All,Entropy,0.32897663410730626
All,Heterogeneity,0.9933222921576733
All,Gini,0.018653384759427905
All,Resilience,6.312581298795195e-07
All,Transitivity,0.9964300000729055
All,None,0.011485714477879383
Density,All,0.01321805568922818
Density,Density,1.0
Density,Entropy,0.9290746563718985
Density,Heterogeneity,0.13795689114492748
Density,Gini,0.9999999942877601
Density,Resilience,0.3832402617306585
Density,Transitivity,0.11425912762765855
Density,None,0.9999999999910665
Entropy,All,0.32897663410730626
Entropy,Density,0.9290746563718985
Entropy,Entropy,1.0
Entropy,Heterogeneity,0.8380534709992544
Entropy,Gini,0.955077155607275
Entropy,Resilience,0.017872785255167778
Entropy,Transitivity,0.7980759125436528
Entropy,None,0.9164016089226306
Heterogeneity,All,0.9933222921576733
Heterogeneity,Density,0.13795689114492748
Heterogeneity,Entropy,0.8380534709992544
Heterogeneity,Heterogeneity,1.0
Heterogeneity,Gini,0.17482785937436696
Heterogeneity,Resilience,4.4214256677110875e-05
Heterogeneity,Transitivity,0.9999999992031505
Heterogeneity,None,0.12503744567243202
Gini,All,0.018653384759427905
Gini,Density,0.9999999942877601
Gini,Entropy,0.955077155607275
Gini,Heterogeneity,0.17482785937436696
Gini,Gini,1.0
Gini,Resilience,0.32148278842898903
Gini,Transitivity,0.14642264756875967
Gini,None,0.9999999408915623
Resilience,All,6.312581298795195e-07
Resilience,Density,0.3832402617306585
Resilience,Entropy,0.017872785255167778
Resilience,Heterogeneity,4.4214256677110875e-05
Resilience,Gini,0.32148278842898903
Resilience,Resilience,1.0
Resilience,Transitivity,3.020257588792763e-05
Resilience,None,0.4091556049005084
Transitivity,All,0.9964300000729055
Transitivity,Density,0.11425912762765855
Transitivity,Entropy,0.7980759125436528
Transitivity,Heterogeneity,0.9999999992031505
Transitivity,Gini,0.14642264756875967
Transitivity,Resilience,3.020257588792763e-05
Transitivity,Transitivity,1.0
Transitivity,None,0.10310686719793571
None,All,0.011485714477879383
None,Density,0.9999999999910665
None,Entropy,0.9164016089226306
None,Heterogeneity,0.12503744567243202
None,Gini,0.9999999408915623
None,Resilience,0.4091556049005084
None,Transitivity,0.10310686719793571
None,None,1.0
