feature1_SW,feature2_SW,value_SW
All,All,1.0
All,Density,3.901656775440188e-12
All,Entropy,3.901656775440188e-12
All,Heterogeneity,5.45246037431113e-07
All,Gini,3.901656775440188e-12
All,Resilience,3.0651022131511496e-07
All,Transitivity,3.901656775440188e-12
All,None,3.9048764222116006e-12
Density,All,3.901656775440188e-12
Density,Density,1.0
Density,Entropy,0.26746363534535655
Density,Heterogeneity,3.901656775440188e-12
Density,Gini,2.7779026547714025e-05
Density,Resilience,3.901656775440188e-12
Density,Transitivity,0.00012241969629922522
Density,None,3.9546366181753e-10
Entropy,All,3.901656775440188e-12
Entropy,Density,0.26746363534535655
Entropy,Entropy,1.0
Entropy,Heterogeneity,4.099121042600018e-11
Entropy,Gini,0.1765693461649498
Entropy,Resilience,7.923450784375063e-11
Entropy,Transitivity,0.32695095163796506
Entropy,None,0.00026568672712945496
Heterogeneity,All,5.45246037431113e-07
Heterogeneity,Density,3.901656775440188e-12
Heterogeneity,Entropy,4.099121042600018e-11
Heterogeneity,Heterogeneity,1.0
Heterogeneity,Gini,0.0001402170002556824
Heterogeneity,Resilience,0.9999999951195886
Heterogeneity,Transitivity,3.210437822287471e-05
Heterogeneity,None,0.12749849823101866
Gini,All,3.901656775440188e-12
Gini,Density,2.7779026547714025e-05
Gini,Entropy,0.1765693461649498
Gini,Heterogeneity,0.0001402170002556824
Gini,Gini,1.0
Gini,Resilience,0.00022223102988416787
Gini,Transitivity,0.9999883569931175
Gini,None,0.5669662743810713
Resilience,All,3.0651022131511496e-07
Resilience,Density,3.901656775440188e-12
Resilience,Entropy,7.923450784375063e-11
Resilience,Heterogeneity,0.9999999951195886
Resilience,Gini,0.00022223102988416787
Resilience,Resilience,1.0
Resilience,Transitivity,5.248721197093076e-05
Resilience,None,0.16149886136771507
Transitivity,All,3.901656775440188e-12
Transitivity,Density,0.00012241969629922522
Transitivity,Entropy,0.32695095163796506
Transitivity,Heterogeneity,3.210437822287471e-05
Transitivity,Gini,0.9999883569931175
Transitivity,Resilience,5.248721197093076e-05
Transitivity,Transitivity,1.0
Transitivity,None,0.3632503449416967
None,All,3.9048764222116006e-12
None,Density,3.9546366181753e-10
None,Entropy,0.00026568672712945496
None,Heterogeneity,0.12749849823101866
None,Gini,0.5669662743810713
None,Resilience,0.16149886136771507
None,Transitivity,0.3632503449416967
None,None,1.0
