corruption & \cellcolor{blue!25}0.883 & 0.987 & 0.913 & 1.000 & 1.000 & 0.994\\ 
foodweb-baywet & \cellcolor{blue!25}0.688 & 0.969 & 0.688 & 1.000 & 1.000 & 1.000\\ 
inf-USAir97 & 0.533 & 0.988 & \cellcolor{blue!25}0.488 & 1.000 & 1.000 & 0.834\\ 
moreno-crime-projected & \cellcolor{blue!25}0.641 & 0.996 & 0.683 & 1.000 & 1.000 & 0.849\\ 
opsahl-openflights & 0.539 & 0.999 & \cellcolor{blue!25}0.418 & 1.000 & 1.000 & 0.752\\ 
household & 0.441 & 0.995 & \cellcolor{blue!25}0.441 & 1.000 & 1.000 & 0.744\\ 
faa & 0.522 & 0.994 & \cellcolor{blue!25}0.522 & 1.000 & 1.000 & 0.880\\ 
facebook & 0.006 & 0.007 & \cellcolor{blue!25}0.003 & 1.000 & 1.000 & 0.033\\ 
powergrid & 0.496 & 0.999 & \cellcolor{blue!25}0.496 & 1.000 & 1.000 & 0.679\\ 
netscience & \cellcolor{blue!25}0.636 & 0.998 & 0.791 & 1.000 & 1.000 & 0.781\\ 
HI-II-14 & 0.450 & 0.996 & \cellcolor{blue!25}0.299 & 1.000 & 1.000 & 0.609\\ 
